law_id,canonical_law_id,bill_number,jurisdiction_id,status_id,effective_date,title,ai_scope_summary,key_requirements_raw,enforcement_penalties,source_id,source_url,last_updated_at
3,TMP-AZ-AMENDMENTOFARI,,6,,2025-09-25,Amendment of Arizona Intimate Images Law,AI Intimate Images,,Extends prohibitions on unlawful disclosure of intimate images to include realistic Class 1 Misdemeanor. Images Law Statutes Section 13- pictorial representations. 1425,1,orrick.com/ai,2026-02-21T23:13:32.668508
4,TMP-AZ-ARIZONAPOLITIC,,6,,2024-06-04,Arizona Political Deepfake Law,AI in Political,"Prohibits any person from creating and distributing a synthetic media message that the Permanent declaratory relief, Advertising person knows is a deceptive and fraudulent deepfake of a candidate for elected office permanent injunctive relief and, in within 90 days of an election unless the synthetic media message includes a clear and certain circumstances, damages. conspicuous disclosure that conveys to a reasonable person that the media includes content generated by artificial intelligence. Last updated January 13, 2026 Page 1 of 39 For more, visit www.orrick.com/ai",,1,orrick.com/ai,2026-02-21T23:13:33.758399
6,TMP-AR-OFARKANSASCSAM,,7,,2025-07-21,Amendment of Arkansas CSAM Laws,AI CSAM Amendment,,Expands the scope of existing child pornography statutes to include AI generated images Existing criminal penalties apply. Laws that are indistinguishable from the image of a child participating or engaging in sexually explicit conduct.,1,orrick.com/ai,2026-02-21T23:13:39.702814
8,US-AR-AB1018,AB 1018,7,1,,AB 1018,,,,2,(IAPP tracker PDF),2026-02-21T23:13:42.106773
9,US-AR-SB258,SB 258,7,1,,SB 258,,,,2,(IAPP tracker PDF),2026-02-21T23:13:43.536818
10,US-AR-SB468,SB 468,7,1,,SB 468,,,,2,(IAPP tracker PDF),2026-02-21T23:13:45.118317
11,TMP-CA-ACTIONSCALCIVC,,1,,2026-01-01,Civil Actions,AI Liability Civil,"Establishes that in an action against a defendant who developed, modified, or used N/A 1714.46 artificial intelligence that is alleged to have caused a harm to the plaintiff, it shall not be a defense, and the defendant may not assert, that the artificial intelligence autonomously caused the harm to the plaintiff.",,1,orrick.com/ai,2026-02-21T23:13:46.523026
16,TMP-CA-AMENDMENTOFCAL,,1,,2025-01-01,Amendment of California CSAM Laws,AI Intimate Images,,"Extends prohibitions on the distribution of intimate images to include the intentional Existing criminal penalties apply. Governing Distribution of Intimate creation and distribution of any sexually explicit image of another identifiable person that Images was created in a manner that would cause a reasonable person to believe the image is an authentic image of the person depicted, under circumstances in which the person distributing the image knows or should know that distribution of the image will cause serious emotional distress, and the person depicted suffers that distress. Last updated January 13, 2026 Page 2 of 39 For more, visit www.orrick.com/ai",1,orrick.com/ai,2026-02-21T23:13:51.968255
17,TMP-CA-AMENDMENTTOTHE,,1,,2025-01-01,Amendment to the Political Reform Act,AI in Political,"Requires any committee that creates, originally publishes, or originally distributes a Up to $5,000 per violation. Advertising Act qualified political advertisement to include in the advertisement a specified disclosure that the advertisement was generated or substantially altered using artificial intelligence.",,1,orrick.com/ai,2026-02-21T23:13:52.945034
18,TMP-CA-BROKERREGISTRA,,1,,2026-01-01,Data Broker Registration AI Disclosures,AI Transparency Data,"Requires data brokers to provide additional information upon registration to the California Up to $200 for each day the data Disclosures 1798.99.82 Privacy Protection Agency, including whether the data broker has shared or sold broker fails to register, an amount consumers’ data to a developer of a GenAI system or model in the past year. equal to the fees that were due during the period it failed to register, and reasonable expenses incurred by the California Privacy Protection Agency during the investigation.",,1,orrick.com/ai,2026-02-21T23:13:53.892453
