raw_term,routing,notes
cure period (enforcement gate),provisional_civil_penalty,"cure_period_days is a field on civil_penalty, not a separate enforcement type"
violation (generic),REVIEW_unclassified,"Extraction captured 'violation' as penalty_type — too generic; review passage for specific mechanism"
enforcement proceeding,REVIEW_unclassified,"Generic; could be ag_enforcement, regulatory_enforcement, or injunctive_relief"
enforcement action,REVIEW_ambiguous,"Ambiguous between ag_enforcement and regulatory_enforcement; depends on enforcing_body field"
subject to enforcement mechanisms described in respective articles,REVIEW_unclassified,"Cross-reference; requires follow-up on referenced article"
statute of limitations,REVIEW_legal_procedure,"Procedural term, not an enforcement type; may belong in compliance_mechanism metadata"
compelled testimony,REVIEW_unclassified,"Investigative enforcement mechanism; route to regulatory_enforcement with note"
compelled testimony/investigative enforcement,REVIEW_unclassified,"Same as compelled testimony; regulatory enforcement context"
void and unenforceable,REVIEW_unclassified,"Voidance is a contract remedy, not an AI enforcement mechanism"
voidance,REVIEW_unclassified,"Same as void and unenforceable"
invalidity of consent,REVIEW_unclassified,"Legal consequence rather than enforcement type"
prohibition of prosecution,REVIEW_unclassified,"Inverse enforcement; safe harbor from prosecution"
exemption from civil penalty,REVIEW_unclassified,"Inverse enforcement; exemption from civil_penalty"
act of delinquency,REVIEW_unclassified,"State-specific legal category; provisional criminal_penalty but needs review"
inadmissibility,REVIEW_unclassified,"Evidentiary rule; not an enforcement mechanism"
loss of right to recover damages,REVIEW_unclassified,"Sanction through denial of remedy; no direct canonical mapping"
nullification,REVIEW_unclassified,"Contract/provision nullification; see void and unenforceable"
attribution of liability,REVIEW_unclassified,"Liability attribution rule; precursor to civil_penalty or private_right_of_action"
