law_id,bill_number,title,source_url,law_status
1,HB 168,Child Protection Act of HB 168,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB168-enr.pdf,active
2,HB172,Alabama Materially Deceptive,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB172-enr.pdf,active
3,,Amendment of Arizona Intimate Arizona Revised,https://infobytes.orrick.com/wp-content/uploads/Arizona-2025-SB1462-Engrossed.pdf,active
4,SB 1359,Arizona Political Deepfake Law SB 1359,https://www.azleg.gov/legtext/56leg/2R/laws/0199.pdf,active
5,HB 2394,General Deepfake Law HB 2394,https://www.azleg.gov/legtext/56leg/2R/laws/0193.pdf,active
6,HB1877,of Arkansas CSAM HB1877,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT977.pdf,active
7,HB 1709,of Model Training and Arkansas Code Title 18-,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT927.pdf,active
8,AB 1018,AB 1018,https://arkleg.state.ar.us/Bills/Detail?id=hb1018&ddBienniumSession=2025/2025R,stub
9,SB 258,SB 258,https://arkleg.state.ar.us/Bills/Detail?id=SB258&ddBienniumSession=2025/2025R,active
10,SB 468,SB 468,https://arkleg.state.ar.us/Bills/Detail?id=SB468&ddBienniumSession=2025/2025R,stub
13,SB 1001,AI California Bot Act Cal. Bus. & Prof. Code,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=7.&title=&part=3.&chapter=6.&article,active
14,SB 1288,AI California Companion Chatbot Cal. Bus. & Prof. Code,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB243,active
15,SB 942,AI Transparency Act Cal. Bus. & Prof. Code,orrick.com/ai,stub
16,SB 926,California SB 926 — Non-Consensual Deepfake Intimate Images (Penal Code § 647),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB926,active
17,AB 2355,California AB 2355 — AI-Generated Content in Political Advertisements,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2355,active
18,,Broker Registration AI Cal. Civ. Code §,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB361,active
19,AB 3030,California Government AI Inventory Cal. Gov. Code §,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=11546.45.5.,active
20,AB 2905,Call Disclosures Law AB 2905,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2905,active
21,AB 1008,Consumer Privacy Act AB 1008,https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf,active
22,AB 2839,Deceptive Media in Election AB 2839,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839,active
23,CPPA ADMT Regs,Decision- California Consumer Privacy Act 11 CCR § 7001 et seq.,orrick.com/ai,stub
24,AB 2885,Definition Bill AB 2885,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2885,active
25,AB 2930,Employment and System,orrick.com/ai,stub
26,,Employment Regulations Civil Rights Council,https://calcivilrights.ca.gov/wp-content/uploads/sites/32/2025/03/Attachment-B-Final-Unmodified-Text-of-Proposed-Employment-Regulations-Regarding-Automated-Decision-Systems.pdf,active
28,SB 896,Generative Artificial Intelligence SB 896,https://leginfo.legislature.ca.gov/faces/billVersionsCompareClient.xhtml?bill_id=202320240SB896,active
29,SB 1120,California SB 1120 — AI in Healthcare Utilization Management (Health & Safety Code § 1367.01),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB1120,active
31,AB 2013,Intelligence Training Data AB 2013,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2013,active
32,,Law Enforcement Usage of Cal. Civ. Code § 13663,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB524,active
33,AB 3211,Media & California AI Transparency Act Cal. Bus. & Prof. Code,https://infobytes.orrick.com/wp-content/uploads/California-AI-Transparency-Act-and-Amendment2.pdf,active
34,AB 2655,California AB 2655 — Defending Democracy from Deepfake Act,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2655,active
35,SB 981,Media & Digital Identity Theft Act SB 981,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,active
36,,"California Synthetic CSAM Law (Cal. Penal Code Part 1, Title 9)",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB981,active
37,AB 2602,of Voice or Likeness Law AB 2602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2602,active
38,SB 53,California SB 53 — Artificial Intelligence Transparency and Documentation Act,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB325,active
39,AB 325,Pricing Cartwright Act Common Pricing AB 325,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1836,active
40,AB 1836,to Deceased AB 1836,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?chapter=7.5.&part=1.&lawCode=PEN&title=9,active
42,AB 412,AB 412,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB412,active
43,HB 94,HB 94,(IAPP tracker PDF),stub
44,SB 11,SB 11,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB11,active
45,SB 420,SB 420,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB420,active
48,SB 24-205,Colorado AI Act — SB 24-205 (C.R.S.A. § 6-1-1701),https://infobytes.orrick.com/wp-content/uploads/Colorado-AI-Act-Amended.pdf,active
49,HB 24-1147,Colorado Candidate Election Co. Rev. Stat. 1-45-,https://infobytes.orrick.com/wp-content/uploads/Colorado-Rev.-Stat.-1-45-111.5-to-111.7-and-1-46-101-to-106.pdf,active
50,SB 21-169,Colorado Protecting Consumers Co. Rev. Stat. 10-3-,https://infobytes.orrick.com/wp-content/uploads/Colorado-10-3-11049-Insurers-use-of-external-consumer-with-regs.pdf,active
51,,Colorado Privacy Act — Automated Decision-Making Provisions (C.R.S.A. § 6-1-1301),https://infobytes.orrick.com/wp-content/uploads/Colorado-§-6-1-1301-Colorado-Privacy-Act-with-Regulations.pdf,active
52,SB 288,Preventing Unauthorized SB 288,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf,active
54,SB 149,SB 149,https://leg.colorado.gov/bills/sb25-149,stub
56,SB 318,SB 318,https://leg.colorado.gov/bills/sb25-318,active
57,SB 1103,"Connecticut Act Concerning AI, SB 1103",orrick.com/ai,stub
58,SB1295,Data Privacy Act SB1295,orrick.com/ai,stub
59,,Connecticut Data Privacy Act (Conn. Gen. Stat. § 42-),https://www.cga.ct.gov/2025/ACT/PA/PDF/2025PA-00113-R00SB-01295-PA.PDF,active
60,,Connecticut Algorithmic Pricing — Transportation Network Companies (Conn. Gen. Stat. § 13b-116),https://www.cga.ct.gov/current/pub/chap_244c.htm,active
61,SB 2,SB 2,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB00002&which_year=2025,active
62,HB 353,Amendment to the Delaware Code HB 353,orrick.com/ai,stub
63,,"Delaware Personal Data Privacy Act (Del. Code tit. 6, § 12D)",https://delcode.delaware.gov/title6/c012d/index.html,active
64,HB 233,Delaware Artificial Intelligence HB 233,orrick.com/ai,stub
65,SB 262,Florida Digital Bill of Rights (SB 262),https://laws.flrules.org/2023/201,active
66,HB 919,Florida Act Relating to AI Use in HB 919,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:FL2024000H919&verid=FL2024000H919_20240426_0_CH&,active
67,SB 1680,of Florida CSAM Laws SB 1680,orrick.com/ai,stub
68,HB 369,HB 369,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=80943,active
69,SB 466,of Georgia CSAM Law SB 466,orrick.com/ai,stub
70,,Prohibition on Nude or Sexually Ga. Code § 16-11-90,orrick.com/ai,stub
71,SB 309,Amendment to Intimate Image Law SB 309,https://data.capitol.hawaii.gov/sessions/session2021/Bills/SB309_SD1_.HTM,active
72,SB 2687,Deceptive Media in Election SB 2687,https://data.capitol.hawaii.gov/sessions/session2024/bills/SB2687_CD1_.pdf,active
73,SB 59,SB 59,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=59&year=2025,active
74,,Idaho Explicit Synthetic Media law Idaho Code § 18-6606,https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch66/sect18-6606/,active
75,,to Personhood I.C. § 5-346,https://legislature.idaho.gov/statutesrules/idstat/Title5/T5CH3/SECT5-346/,active
76,HB 127,HB 127,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0127/,active
77,HB 3506,HB 3506,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=3506&GAID=18&DocTypeID=HB&SessionID=114&GA=104,active
78,SB 1929,SB 1929,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=1929&GAID=18&DocTypeID=SB&SessionID=114&GA=104,active
79,HB1806,AI The Wellness and Oversight for HB1806,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf,active
80,HB 3773,Amendment to the Illinois Human HB 3773,orrick.com/ai,stub
82,HB 4875,to Right of Publicity HB 4875,orrick.com/ai,stub
83,HB 4762,Voice and Likeness HB 4762,https://ilga.gov/legislation/publicacts/fulltext.asp?Name=103-0830,active
85,SB 1792,SB 1792,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=1792&GAID=18&DocTypeID=SB&SessionID=114&GA=104,active
86,SB 2203,SB 2203,https://www.ilga.gov/legislation/billstatus.asp?DocNum=2203&GAID=18&GA=104&DocTypeID=SB&LegID=161928&SessionID=114,active
87,HB 1047,Amendment of Indiana Law HB 1047,orrick.com/ai,stub
88,,Decision- Indiana Consumer Data Protection Ind. Code. §24-15-1,orrick.com/ai,active
89,,Exploitation of a Minor Iowa Code § 728.12,https://www.legis.iowa.gov/docs/code/2025/728.12.pdf,active
90,,Harassment Iowa Code § 708.7,https://www.legis.iowa.gov/docs/code/2025/708.7.pdf,active
91,HB 406,HB 406,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF406,active
92,HB 823,HB 823,(IAPP tracker PDF),stub
93,SB 2313,AI Platforms of Concern SB 2313,https://kslegislature.gov/li/b2025_26/measures/documents/hb2313_enrolled.pdf,active
94,,AI Electioneering Communications KRS 117.001,orrick.com/ai,stub
95,HB 207,Amendment to Intimate Images HB 207,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf,active
96,,Decision- Kentucky Consumer Data Ky. Rev. Stat. §,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39092,active
97,,Government Use of AI Law KRS 42.720 - 42.742,orrick.com/ai,stub
