raw_term,tier1_code,tier2_label,notes
AI CSAM,synthetic_media,ai_csam,
AI Intimate Images,synthetic_media,ai_intimate_images,
AI in Political Advertising,synthetic_media,ai_in_political_advertising,
AI in Government,government_ai_use,ai_in_government,
Automated Decision-Making,automated_decision_making,automated_decision-making,
AI Likeness,synthetic_media,ai_likeness,
AI Healthcare,healthcare_ai,ai_healthcare,
User-Facing AI,transparency_disclosure,user-facing_ai,
AI in Social Media & Online Platforms,platform_content,ai_in_social_media_and_online_platforms,
AI in Employment,employment_ai,ai_in_employment,
AI Transparency,transparency_disclosure,ai_transparency,
AI Deepfakes,synthetic_media,ai_deepfakes,
Algorithmic Pricing,automated_decision_making,algorithmic_pricing,
AI Liability,liability_safety,ai_liability,
AI in Real Estate,sector_specific,ai_in_real_estate,
AI Privacy,privacy_data,ai_privacy,
Frontier or General-Purpose AI,liability_safety,frontier_or_general-purpose_ai,
Comprehensive AI,liability_safety,comprehensive_ai,
AI Robots,liability_safety,ai_robots,
AI Calling,transparency_disclosure,ai_calling,
AI in Insurance,sector_specific,ai_in_insurance,
AI in Critical Infrastructure,liability_safety,ai_in_critical_infrastructure,
AI in Education,sector_specific,ai_in_education,
