code,definition,duty_liability_note,orrick_terms,iapp_scope_codes,iapp_terms,notes
developer,"Entity that creates or trains an AI system, model, or algorithm.","Bears design-time obligations: documentation, testing, safety evaluations.",developer,F,Frontier/developer-scope laws,"Kept distinct from provider (guide §3, developer/provider flag)."
provider,"Entity that supplies, distributes, or makes available an AI system or component to others.","Supply-chain obligations: documentation pass-through, conformity declarations.","provider, vendor, manufacturer",,,Kept distinct from developer. EU 'provider'≈developer; US frameworks may differ — crosswalk confirms.
deployer,Entity that puts an AI system into operation in a specific use context.,"Deployment-time obligations: impact assessments, user notice, sector compliance.","deployer, employer, platform, company",D,Deployer-scope laws,"Sector roles (employer, insurer, hospital, school, platform, publisher, advertiser) map here + separate sector dimension."
operator,"Entity that operates or manages a deployed AI system, often on behalf of a deployer.","Operational obligations: monitoring, incident response, access controls.",operator,,,F4 → split from deployer. Kept distinct pending re-harvest data to confirm non-overlap.
distributor,Entity in the supply chain that makes an AI product available without substantial modification.,"Minimal obligations: verify conformity markings, pass-through documentation.",distributor,,,Thin category; kept distinct from provider.
compute_provider,"Entity that provides compute infrastructure (cloud, HPC) used to train or run AI systems.",Infrastructure-level obligations in some jurisdictions (e.g. reporting large training runs).,"compute provider, cloud provider",,,
controller,Entity that determines the purposes and means of processing personal data.,"Privacy law primary obligations: lawful basis, data subject rights, DPIAs.",controller,A,"ADMT/controller-scope laws (A, A*)",F1 → split from data_handler umbrella.
processor,Entity that processes personal data on behalf of and under instruction of a controller.,"Secondary privacy obligations: DPA requirements, sub-processor chains.","processor, data processor",,,F1 → split from data_handler umbrella.
data_broker,Entity that collects and sells or licenses personal data as a primary business activity.,Registration obligations in several states; opt-out and deletion rights.,data broker,,,Kept distinct from controller/processor.
regulator,Government body with enforcement or oversight authority over AI or the regulated domain.,"Enforcer of obligations, not a duty-bearer; may issue guidance and impose penalties.","agency, regulator, commission, attorney general, enforcement authority",,,F2 → split from government umbrella. Enforcer/oversight bodies only.
government_agency,"Government body that procures, uses, or deploys AI (not primarily an enforcement body).","Government-as-regulated-actor obligations: procurement rules, algorithmic audits.","government, government agency, department",G,"General/government-use laws (G, G*)","F2 → split from government umbrella. Government-as-deployer/user, not enforcer."
individual,"Natural person — consumer, applicant, user, minor — who is a subject or rights-holder under the law.","Protected party, not a duty-bearer. actor_scope=protected applies.","person, individual, consumer, applicant",,,F3 → kept as own code AND retains actor_scope=protected flag (both).
regulated_entity,Generic catch-all for covered or regulated entities that do not fit a more specific code.,Catch-all only — obligations depend on the law's specific scope language.,"covered entity, regulated entity, third party",,,Routing target for unresolved terms until LKA ratifies more specific mapping.
