raw_value,mentions,A,B,C,D,proposed_code
controller,359,0,16,244,99,data_handler
deployer,278,11,15,144,108,deployer
operator,232,9,14,97,112,operator
developer,211,2,15,71,123,developer
person,153,14,14,75,50,individual
processor,133,0,1,44,88,data_handler
business,122,0,7,102,13,data_handler
regulator,116,1,2,61,52,regulator_or_gov
agency,48,2,11,22,13,regulator_or_gov
vendor,32,1,2,10,19,provider
employer,31,0,0,6,25,deployer
individual,29,1,1,22,5,individual
department,29,2,0,9,18,regulator_or_gov
model management company,23,0,0,2,21,provider
committee,22,1,1,18,2,REVIEW_unclassified
licensee,22,2,0,16,4,regulated_entity
hospital,22,0,1,17,4,deployer
regulated_entity,20,1,0,15,4,regulated_entity
controller/processor,19,0,0,10,9,data_handler
state agency,19,3,5,8,3,regulator_or_gov
government_official,18,0,0,10,8,regulator_or_gov
government_agency,18,1,1,7,9,regulator_or_gov
platform,17,6,4,5,2,deployer
provider,17,0,0,6,11,provider
agent,17,0,0,2,15,REVIEW_unclassified
state_agency,15,2,0,10,3,regulator_or_gov
insurer,13,0,2,10,1,deployer
applicant,11,0,0,7,4,individual
government_body,11,0,1,5,5,regulator_or_gov
advertiser,10,0,0,7,3,deployer
educational_institution,10,0,0,1,9,deployer
government_unit,10,0,0,10,0,regulator_or_gov
carrier_and_review_agents,10,0,6,4,0,deployer
supplier,10,0,2,3,5,provider
court,9,0,0,4,5,REVIEW_legalprocess
auditor,9,0,0,8,1,REVIEW_unclassified
carrier_or_agent,9,0,0,7,2,deployer
law enforcement agency,9,2,0,7,0,regulator_or_gov
covered entity,9,0,0,0,9,regulated_entity
distributor,8,1,0,3,4,distributor
publisher,8,0,1,4,3,deployer
government,8,0,0,0,8,regulator_or_gov
brokerage_firm,8,0,0,2,6,deployer
nursing_home,8,0,1,6,1,deployer
plaintiff,7,0,0,4,3,REVIEW_legalprocess
developer/deployer,7,1,0,0,6,deployer
local agency,7,0,0,7,0,regulator_or_gov
official,7,0,0,5,2,regulator_or_gov
model_management_company,7,0,0,0,7,provider
council,7,0,0,0,7,regulator_or_gov
service_provider_or_contractor,6,0,0,4,2,provider
data broker,6,0,0,6,0,data_handler
secretary,6,0,0,1,5,regulator_or_gov
government_entity,6,0,0,1,5,regulator_or_gov
enforcement_authority,6,0,0,2,4,regulator_or_gov
healthcare_facility,6,1,2,3,0,deployer
